Subject,Method,Classification_Error,Precision,Recall,Specificity
100010,WT_Choi,0.36,0.03,1,0.5
100303,WT_Choi,0.93,0,0.04,0.07
100032,WT_Choi,0.85,0,1,0.15
100325,WT_Choi,0.96,0,0,0.04
100331,WT_Choi,0.97,0,0.1,0.04
100375,WT_Choi,0.97,0,0.3,0.03
100135,WT_Choi,0.96,0,0,0.04
100179,WT_Choi,0.91,0,0.09,0.09
100509,WT_Choi,0.95,0,0.5,0.05
100521,WT_Choi,0.95,0,0.05,0.06
100266,WT_Choi,0.95,0,0.43,0.05
100537,WT_Choi,0.47,0.02,0.5,0.53
100272,WT_Choi,0.75,0,0.07,0.26
100559,WT_Choi,0.89,0,0.5,0.11
100294,WT_Choi,0.81,0,0.11,0.19
100010,WT_TroianoX,0.5,0.03,1,0.46
100303,WT_TroianoX,0.95,0,0,0.05
100032,WT_TroianoX,0.89,0,0.86,0.12
100325,WT_TroianoX,0.97,0,0,0.03
100331,WT_TroianoX,0.97,0,0.33,0.03
100375,WT_TroianoX,0.98,0,0.19,0.02
100135,WT_TroianoX,0.97,0,0,0.03
100179,WT_TroianoX,0.94,0,0.15,0.07
100509,WT_TroianoX,0.96,0,0,0.05
100521,WT_TroianoX,0.97,0,0,0.04
100266,WT_TroianoX,0.97,0,0,0.05
100537,WT_TroianoX,0.6,0.02,0.47,0.42
100272,WT_TroianoX,0.75,0,0,0.25
100559,WT_TroianoX,0.94,0,0,0.08
100294,WT_TroianoX,0.82,0,0,0.16
100010,WT_TroianoY,0.42,0.03,0.97,0.4
100303,WT_TroianoY,0.95,0,0,0.05
100032,WT_TroianoY,0.88,0,0.82,0.11
100325,WT_TroianoY,0.97,0,0,0.03
100331,WT_TroianoY,0.97,0,0.33,0.03
100375,WT_TroianoY,0.98,0,0.19,0.02
100135,WT_TroianoY,0.97,0,0,0.03
100179,WT_TroianoY,0.93,0,0.05,0.06
100509,WT_TroianoY,0.95,0,0,0.04
100521,WT_TroianoY,0.96,0,0,0.04
100266,WT_TroianoY,0.95,0,0,0.03
100537,WT_TroianoY,0.58,0.02,0.47,0.39
100272,WT_TroianoY,0.75,0,0,0.25
100559,WT_TroianoY,0.92,0,0,0.06
100294,WT_TroianoY,0.84,0,0,0.18
100010,WT_TroianoZ,0.51,0.03,1,0.38
100303,WT_TroianoZ,0.94,0,0,0.06
100032,WT_TroianoZ,0.9,0,0.86,0.1
100325,WT_TroianoZ,0.97,0,0,0.03
100331,WT_TroianoZ,0.97,0,0,0.03
100375,WT_TroianoZ,0.98,0,0.19,0.02
100135,WT_TroianoZ,0.97,0,0,0.03
100179,WT_TroianoZ,0.94,0,0.15,0.06
100509,WT_TroianoZ,0.95,0,0,0.05
100521,WT_TroianoZ,0.96,0,0,0.04
100266,WT_TroianoZ,0.96,0,0,0.04
100537,WT_TroianoZ,0.71,0.01,0.47,0.28
100272,WT_TroianoZ,0.75,0,0,0.25
100559,WT_TroianoZ,0.92,0,0,0.08
100294,WT_TroianoZ,0.82,0,0,0.19
100010,WT_TroianoS,0.68,0.02,0.97,0.25
100303,WT_TroianoS,0.97,0,0,0.03
100032,WT_TroianoS,0.93,0,0.82,0.07
100325,WT_TroianoS,0.98,0,0,0.02
100331,WT_TroianoS,0.98,0,0.33,0.02
100375,WT_TroianoS,0.98,0,0.19,0.02
100135,WT_TroianoS,0.98,0,0,0.02
100179,WT_TroianoS,0.96,0,0.05,0.04
100509,WT_TroianoS,0.97,0,0.5,0.03
100521,WT_TroianoS,0.98,0,0,0.02
100266,WT_TroianoS,0.99,0,0,0.02
100537,WT_TroianoS,0.69,0.01,0.47,0.3
100272,WT_TroianoS,0.79,0,0,0.21
100559,WT_TroianoS,0.96,0,0.5,0.04
100294,WT_TroianoS,0.89,0,0.33,0.1
100010,HMM_Part,0.19,0.4,0.14,0.96
100303,HMM_Part,0.16,0.04,0.02,0.95
100032,HMM_Part,0.1,NA,0,1
100325,HMM_Part,0.13,0,0,0.96
100331,HMM_Part,0.31,0.08,0.08,0.81
100375,HMM_Part,0.07,0.72,1,0.91
100135,HMM_Part,0.1,NA,0,1
100179,HMM_Part,0.07,0.72,0.95,0.93
100509,HMM_Part,0.26,0.32,1,0.71
100521,HMM_Part,0.12,NA,0,1
100266,HMM_Part,0.21,0.43,0.3,0.91
100537,HMM_Part,0.24,0.14,0.07,0.91
100272,HMM_Part,0.28,0,0,0.8
100559,HMM_Part,0.26,0.19,0.12,0.88
100294,HMM_Part,0.55,0.26,1,0.32
100010,GMM,,,,
100303,GMM,,,,
100032,GMM,,,,
100325,GMM,,,,
100331,GMM,0.11,0.34,0.5,0.93
100375,GMM,0.04,1,0.5,1
100135,GMM,0.24,0,0,1
100179,GMM,,,,
100509,GMM,0.27,0.18,0.5,0.76
100521,GMM,,,,
100266,GMM,,,,
100537,GMM,0.04,1,0.49,1
100272,GMM,,,,
100559,GMM,0.18,0.22,0.5,0.85
100294,GMM,,,,